,Batsman,Ground,Runs,4s,6s,No. of Matches Played,Average Strike Rate,Balls Faced
484,Tendulkar2,Perth,226,32,0,6,57.0,364
485,Tendulkar2,Birmingham,187,31,1,4,51.0,286
486,Tendulkar2,Port of Spain,117,14,0,2,22.5,264
487,Tendulkar2,Rawalpindi,1,0,0,1,33.0,3
488,Tendulkar2,Multan,194,21,0,1,55.0,348
489,Tendulkar2,Chittagong,157,19,2,3,63.0,247
490,Tendulkar2,Nottingham,164,23,0,4,41.0,332
491,Tendulkar2,Christchurch,24,3,0,2,27.0,45
492,Tendulkar2,Brisbane,23,4,0,2,33.0,67
493,Tendulkar2,Durban,101,18,0,6,37.0,224
494,Tendulkar2,Dhaka,531,57,2,4,59.75,828
495,Tendulkar2,Hamilton,201,32,0,3,52.0,339
496,Tendulkar2,Harare,130,14,1,4,48.5,263
497,Tendulkar2,Karachi,49,10,0,2,67.0,76
498,Tendulkar2,Cape Town,256,39,0,4,42.25,474
499,Tendulkar2,Centurion,147,21,1,2,75.5,275
500,Tendulkar2,Bloemfontein,170,25,1,2,63.0,219
501,Tendulkar2,Bridgetown,104,15,1,4,34.25,180
502,Tendulkar2,Galle,128,18,1,4,84.0,208
503,Tendulkar2,Adelaide,160,21,0,8,41.25,343
504,Tendulkar2,Wellington,219,29,2,4,59.25,323
505,Tendulkar2,Johannesburg,58,10,0,2,56.0,111
506,Tendulkar2,Lord's,111,16,0,6,38.0,306
507,Tendulkar2,Kingston,127,20,0,2,63.0,202
508,Tendulkar2,Port Elizabeth,6,1,0,2,17.5,18
509,Tendulkar2,Sydney,336,43,1,6,70.67,546
510,Tendulkar2,Bulawayo,110,16,0,2,65.0,177
511,Tendulkar2,Colombo (SSC),171,20,1,4,53.75,289
512,Tendulkar2,Melbourne,449,43,3,10,55.3,765
513,Sehwag,Queenstown,23,4,0,1,58.0,39
514,Sehwag,The Oval,46,8,1,2,56.0,43
515,Sehwag,Peshawar,18,4,0,2,77.5,24
516,Sehwag,Lahore,46,9,0,2,89.5,51
517,Sehwag,Auckland,152,14,6,3,76.0,171
518,Sehwag,Perth,32,6,0,1,94.0,34
519,Sehwag,Napier,185,20,3,2,113.5,175
520,Sehwag,Melbourne (Docklands),64,8,1,3,97.33,65
521,Sehwag,Port of Spain,138,18,1,4,73.0,147
522,Sehwag,Rawalpindi,93,14,1,2,117.0,81
523,Sehwag,Nottingham,4,0,0,1,33.0,12
524,Sehwag,Christchurch,10,1,0,2,42.5,26
525,Sehwag,Durban,34,4,1,1,58.0,58
526,Sehwag,Dambulla,222,32,2,6,107.0,222
527,Sehwag,Basseterre,97,9,3,1,116.0,83
528,Sehwag,Dhaka,474,59,11,9,116.33,377
529,Sehwag,Hamilton,129,14,6,2,94.5,93
530,Sehwag,Harare,48,8,0,2,93.0,51
531,Sehwag,Karachi,247,32,8,3,137.0,185
532,Sehwag,Cape Town,0,0,0,1,0.0,4
533,Sehwag,Centurion,44,6,1,2,86.0,49
534,Sehwag,Hambantota,111,12,0,2,99.0,112
535,Sehwag,Colombo (RPS),383,54,3,12,101.25,350
536,Sehwag,Bridgetown,21,3,0,1,58.0,36
537,Sehwag,Wellington,45,9,0,1,112.0,40
538,Sehwag,East London,4,0,0,1,80.0,5
539,Sehwag,Adelaide,20,3,0,1,95.0,21
540,Sehwag,Johannesburg,5,0,0,1,100.0,5
541,Sehwag,Lord's,117,16,1,3,83.33,116
542,Sehwag,Kingston,34,4,0,2,65.5,51
543,Sehwag,Sydney,34,5,1,3,101.67,37
544,Sehwag,Port Elizabeth,18,3,0,1,81.0,22
545,Sehwag,Bulawayo,2,0,0,1,28.0,7
546,Sehwag,Colombo (SSC),0,0,0,1,0.0,1
547,Sehwag,Melbourne,49,5,0,3,51.0,86
548,Kohli,Rajkot,29,2,1,1,131.0,22
549,Kohli,Pallekele,68,11,1,1,141.0,48
550,Kohli,Chennai,70,10,1,1,170.0,41
551,Kohli,Pune,21,2,0,1,123.0,17
552,Kohli,Mumbai,38,7,0,1,190.0,20
553,Kohli,Kolkata,15,3,0,1,93.0,16
554,Kohli,Birmingham,66,9,1,1,160.0,41
555,Kohli,Port of Spain,14,2,0,1,116.0,12
556,Kohli,Durban,28,5,0,1,147.0,19
557,Kohli,Manchester,4,0,0,1,80.0,5
558,Kohli,Dhaka,319,24,10,6,126.0,247
559,Kohli,Harare,26,3,1,1,123.0,21
560,Kohli,Ahmedabad,27,3,0,1,122.0,22
561,Kohli,Bangalore,9,1,0,1,81.0,11
562,Kohli,Colombo (RPS),185,20,4,5,105.6,151
563,Kohli,Dharamsala,43,1,3,1,159.0,27
564,Kohli,Sydney,22,0,1,1,104.0,21
565,Kohli,Melbourne,31,3,0,1,129.0,24
566,Kohli,Cuttack,1,0,0,1,100.0,1
